No,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Vendor,DHL WH,JDN MZD,AAA Storage,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,Stack_Status,Source_File,HAULER,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
2742,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280808,1,Indoor,Accessories of 400V-1200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,34.4,0.25296728,147.0,172.1,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2743,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280809,1,Indoor,Accessories of 400V-1200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,34.4,0.25296728,147.0,172.1,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2744,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280810,1,Indoor,Accessories of 400V-1200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,34.4,0.25296728,147.0,172.1,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2745,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280811,1,Indoor,Accessories of 400V-1200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,34.4,0.25296728,147.0,172.1,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2746,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280812,1,Indoor,Accessories of 400V-1200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,34.4,0.25296728,147.0,172.1,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2747,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280813,1,Indoor,Accessories of 400V-1200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,34.4,0.25296728,147.0,172.1,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2748,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280814,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2749,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280815,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2750,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280816,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2751,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280817,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2752,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280818,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2753,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280819,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2754,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280820,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2755,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280821,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2756,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280822,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2757,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280823,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2758,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280824,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2759,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280825,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2760,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280826,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2761,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280827,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2762,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280828,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2763,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280829,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2764,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280830,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2765,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280831,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2766,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280832,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2767,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280833,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2768,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280834,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2769,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280835,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2770,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280836,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2771,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280837,1,Indoor,3 Modules of 8V1600Ah (12 cells) ,101.5,83.4,83.5,0.7068358499999999,1245.0,1292.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2772,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280838,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2773,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280839,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2774,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280840,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2775,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280841,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2776,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280842,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2777,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280843,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2778,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280844,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2779,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280845,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 6V-1600Ah ( 11 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,1154.1,1202.0,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2780,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280846,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2781,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280847,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2782,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280848,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2783,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280849,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2784,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280850,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2785,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280851,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2786,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280852,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2787,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280853,1,Indoor,2 Modules of 8V1600Ah & 1 Module of 2V-1600Ah  (09 cells) with compression plate,101.5,83.4,83.5,0.7068358499999999,972.0,1019.9,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
