No,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Vendor,DHL WH,JDN MZD,AAA Storage,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,Stack_Status,Source_File,HAULER,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
2788,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280854,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2789,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280855,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2790,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280856,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2791,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280857,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2792,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280858,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2793,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280859,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2794,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280860,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2795,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280861,1,Indoor,1 Module of 2V1600Ah ( 01 cells) with compression plate,82.6,42.0,83.5,0.2896782,142.0,168.4,Not stackable,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2796,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280862,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2797,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280863,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
