No,CWI Job Number,Order Ref. Number,S/No,RATE SOURCE,DESCRIPTION,RATE,Formula,Q'TY,TOTAL (USD),REV RATE,REV TOTAL,DIFFERENCE,Validation_Status,Ref_Rate_USD,Python_Delta,CG_Band,Charge_Group,Gate_Score,Gate_Status,PDF_Count,PDF_Amount,PDF_Qty,PDF_Unit_Rate,Validation_Notes
31,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,6,130.0,1.0,130.0,Contract rate from config; Within tolerance
32,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",3,CONTRACT,TERMINAL HANDLING FEE (1 X 40HC),479.0,,1,479.0,479.0,479.0,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,6,130.0,1.0,130.0,No contract rate found
33,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",4,CONTRACT,TRANSPORTATION CHARGES (1 X 40HC) FROM KP TO DSV MUSSAFAH YARD,252.0,,1,252.0,252.0,252.0,0.0,PASS,252.0,0.0,PASS,Contract,100,PASS,6,,,,Contract rate from config; Within tolerance
34,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",5,AT COST,CARRIER CONTAINER REPOSITIONING FEE (1 X 40HC),8.0,=29.38/3.6725,1,8.0,8.0,8.0,0.0,PASS,8.0,0.0,N/A,AtCost,70,FAIL,6,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
35,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",6,AT COST,CARRIER COTNAINER INSPECTION FEE (1 X 40HC),35.39823008849557,=130/3.6725,1,35.39823008849557,35.4,35.4,0.0017699115044251812,PASS,35.4,-0.0,N/A,AtCost,70,FAIL,6,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
36,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",7,AT COST,CARRIER COTNAINER ADMIN FEE (1 X 40HC),9.530292716133424,=35/3.6725,1,9.530292716133424,9.53,9.53,-0.00029271613342451985,PASS,9.53,0.0,N/A,PortalFee,70,FAIL,6,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
37,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",8,AT COST,PORT CONTAINER ADMIN/INSPECTION FEE (1 X 40HC),6.8073519400953035,=25/3.6725,1,6.8073519400953035,6.81,6.81,0.002648059904696076,PASS,6.81,-0.04,N/A,AtCost,70,FAIL,6,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
38,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",9,AT COST,PORT CONTAINER WASHING FEE (1 X 40HC),21.78352620830497,=80/3.6725,1,21.78352620830497,21.78,21.78,-0.0035262083049687476,PASS,21.78,0.02,N/A,AtCost,70,FAIL,6,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
39,BAMF0018127,HVDC-ADOPT-SCT-0134,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,100,PASS,6,,,,Contract rate from config; Within tolerance
40,BAMF0018127,HVDC-ADOPT-SCT-0134,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,6,,,,Contract rate from config; Within tolerance
41,BAMF0018127,HVDC-ADOPT-SCT-0134,3,CONTRACT,TERMINAL HANDLING CHARGES (CW: 2136 KG),0.55,,2178,1197.9,0.55,1197.9,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,6,,,,No contract rate found
42,BAMF0018127,HVDC-ADOPT-SCT-0134,4,CONTRACT,TRANSPORTATION CHARGES (3 TON PU) FROM AUH AIRPORT TO MOSB,100.0,,1,100.0,100.0,100.0,0.0,FAIL,200.0,-50.0,CRITICAL,Contract,85,PASS,6,,,,Contract rate from config; High delta: -50.0%
43,BAMF0018127,HVDC-ADOPT-SCT-0134,5,CONTRACT,TRANSPORTATION CHARGES (1 FB) FROM AUH AIRPORT TO MIRFA + SHUWEIHAT,810.0,=(420/2)+600,1,810.0,810.0,810.0,0.0,PASS,810.0,0.0,PASS,Contract,100,PASS,6,,,,Contract rate from config; Within tolerance
44,BAMF0018127,HVDC-ADOPT-SCT-0134,6,AT COST,DOCUMENTATION PROCESSING FEE,9.530292716133424,=35/3.6725,1,9.530292716133424,9.53,9.53,-0.00029271613342451985,PASS,9.53,0.0,N/A,PortalFee,70,FAIL,6,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
45,BAMF0018127,HVDC-ADOPT-SCT-0134,7,AT COST,TRUCK APPOINTMENT FEE,7.351940095302927,=27/3.6725,1,7.351940095302927,7.35,7.35,-0.0019400953029276025,PASS,7.35,0.03,PASS,PortalFee,70,FAIL,6,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
46,BAMF0017761,HVDC-ADOPT-HE-0471,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
47,BAMF0017761,HVDC-ADOPT-HE-0471,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
48,BAMF0017768,HVDC-ADOPT-HE-0472,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
49,BAMF0017768,HVDC-ADOPT-HE-0472,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
50,BAMF0017769,HVDC-ADOPT-HE-0473,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
51,BAMF0017769,HVDC-ADOPT-HE-0473,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
52,BAMF0017867,"HVDC-ADOPT-HE-0450, 0459, 0460",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
53,BAMF0017867,"HVDC-ADOPT-HE-0450, 0459, 0460",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
54,BAMF0017960,"HVDC-ADOPT-HE-0466,0467,0468",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,FAIL,80.0,87.5,CRITICAL,Contract,75,FAIL,1,,,,Contract rate from config; High delta: 87.5%
55,BAMF0017960,"HVDC-ADOPT-HE-0466,0467,0468",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
