no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,고유 중복,Vendor,Source_Vendor,__case_key__,__dup_label__,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE_ORIG,FLOW_OVERRIDE_REASON,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
642,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Support Bus Bar Type 1,120.0,80.0,73.0,0.7008,822,822.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.96,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
643,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Bus Bar & Accessories,120.0,80.0,42.0,0.4032,633,633.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.96,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
644,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Bus Bar & Accessories,120.0,80.0,600.0,5.76,621,621.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.96,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
645,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Support Bus Bar Type 1,120.0,80.0,95.0,0.912,538,538.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.96,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
646,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Label,47.0,37.0,27.0,0.046953,8.3,13.3,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.17,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
647,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Accessories,318.0,68.0,82.0,1.773168,1193,1353.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,2.16,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
648,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Grid Cableway & Cable Mesh,318.0,68.0,82.0,1.773168,220,380.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,2.16,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
649,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Grid Cableway ,318.0,68.0,82.0,1.773168,158,318.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,2.16,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
650,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Filter bag,115.0,85.0,91.0,0.889525,255,311.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
651,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Filter bag,115.0,85.0,91.0,0.889525,197,253.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
