shipment_ref,origin,destination,origin_norm,destination_norm,vehicle,vehicle_norm,unit,rate_usd,ref_rate_usd,delta_pct,cg_band,contract_ok,supplier_grade,supplier_tol_ok,distance_km,ref_distance_km,per_km,anomaly_z,anomaly_flag,similarity,similarity_pass,confidence,ml_confidence,risk_score,fx_msg,decision,flags,unnamed: 0,unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,amount_usd,currency,quantity,completeness,join_key,delta_abs,fx_ok,automation_ready
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,11,HVDC-DSV-MOSB-MIR-220,SAMF0014392,LOADING,DSV M44 WAREHOUSE,MIRFA PMO SAMSUNG,14,FLATBED,Contract,420,5880,,,5880,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,LOADING,DSV MARKAZ,MIRFA PMO SAMSUNG,4,FLATBED,Contract,420,1680,,,1680,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,12,HVDC-DSV-MOSB-222,SAMF0014417,LOADING,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,1,3 TON PU,Contract,120,120,,,120,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,LOADING,DSV MARKAZ,SAMSUNG MOSB YARD,1,3 TON PU,Contract,120,120,,,120,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,13,HVDC-DSV-FP-TRO-223,SAMF0014434,LOADING,MINA FREE PORT,TROJAN MUSSAFAH,8,LOWBED,As per offer,680.7351940095303,5445.881552076243,,,5445.881552076243,See rate approval merged to DN,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,14,HVDC-DSV-MOSB-223 ,SAMF0014438,LOADING,DSV MARKAZ,SAMSUNG MOSB YARD,1,FLATBED,Contract,200,200,,,200,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,LOADING,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,1,FLATBED,Contract,200,200,,,200,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,15,HVDC-DSV-HE-SHU-199,SAMF0014441,LOADING,HAULER DUBAI,SHUWEIHAT POWER STATION,3,FLATBED HAZMAT,Contract,1307.0115724982982,3921.0347174948947,,,3921.0347174948947,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,16,HVDC-DSV-HE-MIR-TEC-224,SAMF0014458,LOADING,MIRFA PMO SAMSUNG,JEBEL ALI,1,FLATBED,Contract,770,770,,,770,"Trip (MIR-JEA: USD 770) + 
(MOSB-MIRFA: USD 420 + 70%)","See attached DN
",,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,LOADING,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,1,FLATBED,Contract,714,714,,,714,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,17,HVDC-DSV-MOSB-225,SAMF0014461,LOADING,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,1,FLATBED,Contract,200,200,,,200,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,LOADING,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,1,3 TON PU,Contract,100,100,,,100,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,18,HVDC-DSV-PRE-SHU-MIR-227,SAMF0014471,LOADING,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,1,FLATBED,Contract,420,420,,,420,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,LOADING,PRESTIGE MUSSAFAH,SHUWEIHAT POWER STATION,1,FLATBED,Contract,600,600,,,600,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,19,HVDC-DSV-HE-SHU-228,SAMF0014472,LOADING,DSV M44 WAREHOUSE,SHUWEIHAT POWER STATION,2,FLATBED,Contract,600,1200,,,1200,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,20,HVDC-DSV-MOSB-229,SAMF0014482,LOADING,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,2,FLATBED,Contract,200,400,,,400,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,21,HVDC-DSV-SHU-SKM-226,SAMF0014485,LOADING,SHUWEIHAT POWER STATION,Surti Industries LLC (JEBEL ALI),1,3 TON PU,Contract,410,410,,,410,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
