s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,pdf_validation,demurrage_risk,gates,supporting_docs_list,evidence_count,evidence_types
2,HE0497,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,2.0,300.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 2, 'total_files': 2, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0497_BOE (Part1).pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\19. HVDC-ADOPT-HE-0497\\HVDC-ADOPT-HE-0497_BOE (Part1).pdf', 'doc_type': 'BOE', 'file_size': 188298}, {'file_name': 'HVDC-ADOPT-HE-0497_BOE (Part2).pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\19. HVDC-ADOPT-HE-0497\\HVDC-ADOPT-HE-0497_BOE (Part2).pdf', 'doc_type': 'BOE', 'file_size': 189507}]",2,['BOE']
1,HE0500,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0500_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\20. HVDC-ADOPT-HE-0500\\HVDC-ADOPT-HE-0500_BOE.pdf', 'doc_type': 'BOE', 'file_size': 302489}]",1,['BOE']
2,HE0500,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0500_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\20. HVDC-ADOPT-HE-0500\\HVDC-ADOPT-HE-0500_BOE.pdf', 'doc_type': 'BOE', 'file_size': 302489}]",1,['BOE']
1,HE0488,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0488_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\21. HVDC-ADOPT-HE-0488\\HVDC-ADOPT-HE-0488_BOE.pdf', 'doc_type': 'BOE', 'file_size': 303799}]",1,['BOE']
2,HE0488,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0488_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\21. HVDC-ADOPT-HE-0488\\HVDC-ADOPT-HE-0488_BOE.pdf', 'doc_type': 'BOE', 'file_size': 303799}]",1,['BOE']
1,"HE0495,0496",MASTER DO FEE,CONTRACT,80.0,2.0,160.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,62.5,Gate_01,,,,[],0,[]
2,"HE0495,0496",CUSTOMS CLEARANCE FEE,CONTRACT,150.0,2.0,300.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,,,,[],0,[]
1,HE0498,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0498_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\23. HVDC-ADOPT-HE-0498\\HVDC-ADOPT-HE-0498_BOE.pdf', 'doc_type': 'BOE', 'file_size': 249798}]",1,['BOE']
2,HE0498,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0498_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\23. HVDC-ADOPT-HE-0498\\HVDC-ADOPT-HE-0498_BOE.pdf', 'doc_type': 'BOE', 'file_size': 249798}]",1,['BOE']
1,HE0501,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0501_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\24. HVDC-ADOPT-HE-0501\\HVDC-ADOPT-HE-0501_BOE.pdf', 'doc_type': 'BOE', 'file_size': 250342}]",1,['BOE']
