s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,supporting_docs_list,evidence_count,evidence_types,pdf_validation,demurrage_risk,gates,S/No,REV RATE,REV TOTAL,DIFFERENCE
5,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM KHALIFA PORT TO DSV MUSSAFAH YARD,CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,5.0,989.18,989.18,0.0
5,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM KHALIFA PORT TO DSV MUSSAFAH YARD,CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,5.0,989.18,989.18,0.0
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,252.0,756.0,0.0
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,47.65,47.65,-0.001463580667120823
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,8.17,8.17,0.001177671885635334
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,9.53,9.53,-0.00029271613342451985
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,35.4,35.4,0.0017699115044251812
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,9.53,9.53,-0.00029271613342451985
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,125.0,125.0,0.0
6,MasterData,TRANSPORTATION CHARGES (1 X 20DC / 2 X 40HC) FROM DSV MUSSAFAH YARD TO KHALIFA PORT (EMPTY RETURN),CONTRACT,252.0,3.0,756.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,252.0,,FAIL,62.5,Gate_01,[],0,[],,,,6.0,150.0,150.0,0.0
