no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
6836,PRL-O-046-O2,HVDC-ADOPT-HE-0484,DAS,EQ-002,EXFU0815894,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,21140,21140.0,Stackable,27102090,USD,43036.812,CSCL NEPTUNE,BELGIUM,Antwerp,Khalifa port,2025-09-08,2025-10-12,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6837,PRL-O-046-O2,HVDC-ADOPT-HE-0484,DAS,EQ-002,PCVU2644769,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,21000,21000.0,Stackable,27102090,USD,42751.8,CSCL NEPTUNE,BELGIUM,Antwerp,Khalifa port,2025-09-08,2025-10-12,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6838,PRL-O-046-O2,HVDC-ADOPT-HE-0484,DAS,EQ-002,EXFU6674617,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,20940,20940.0,Stackable,27102090,USD,42629.652,CSCL NEPTUNE,BELGIUM,Antwerp,Khalifa port,2025-09-08,2025-10-12,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6839,PRL-O-046-O2,HVDC-ADOPT-HE-0484,DAS,EQ-002,SLZU2600998,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,20900,20900.0,Stackable,27102090,USD,42548.22,CSCL NEPTUNE,BELGIUM,Antwerp,Khalifa port,2025-09-08,2025-10-12,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6840,PRL-O-046-O1,HVDC-ADOPT-HE-0483,DAS,EQ-002,PCVU2612186,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,21000,21000.0,Stackable,27102090,USD,42751.8,DUBAI EXPRESS,BELGIUM,Antwerp,Khalifa port,2025-09-05,2025-10-17,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6841,PRL-O-046-O1,HVDC-ADOPT-HE-0483,DAS,EQ-002,FLNU6800891,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,20980,20980.0,Stackable,27102090,USD,42711.084,DUBAI EXPRESS,BELGIUM,Antwerp,Khalifa port,2025-09-05,2025-10-17,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6842,PRL-O-046-O1,HVDC-ADOPT-HE-0483,DAS,EQ-002,EXFU6713544,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,21000,21000.0,Stackable,27102090,USD,42751.8,DUBAI EXPRESS,BELGIUM,Antwerp,Khalifa port,2025-09-05,2025-10-17,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6843,PRL-O-046-O1,HVDC-ADOPT-HE-0483,DAS,EQ-002,EXFU6664624,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,21020,21020.0,Stackable,27102090,USD,42792.516,DUBAI EXPRESS,BELGIUM,Antwerp,Khalifa port,2025-09-05,2025-10-17,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6844,PRL-O-046-O1,HVDC-ADOPT-HE-0483,DAS,EQ-002,FLNU6805851,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,20860,20860.0,Stackable,27102090,USD,42466.799,DUBAI EXPRESS,BELGIUM,Antwerp,Khalifa port,2025-09-05,2025-10-17,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6845,PRL-O-046-O1,HVDC-ADOPT-HE-0483,DAS,EQ-002,SLZU2680479,1.0,Outdoor,NYTRO 10XN Transformer Oil,606.0,244.0,259.0,38.296776,21140,21140.0,Stackable,27102090,USD,43036.812,DUBAI EXPRESS,BELGIUM,Antwerp,Khalifa port,2025-09-05,2025-10-17,,,,,,,,,,,,,,,"Case List, RIL",,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,14.79,,,,UNKNOWN,,0,0,0,0,Pre Arrival,Pre Arrival
6846, PRL-O-053-A,HVDC-ADOPT-HE-0501,SHU,EQ-003,K08059-D13 ,1.0,Outdoor,Corona Ring Bracket,29.0,21.0,32.0,0.02,3,3.5,not stackable,39269097,EUR,275.0,EY7334,Austria,Linz,Abu Dhabi Airport,2025-09-17,2025-09-19,,,,,,,,,,,,2025-09-28,,,"Case List, RIL",,1.0,site,SHU,2025-09-28,site,0,1,1,1,2,0.06,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6847,PRL-MIR-055-A,HVDC-ADOPT-HE-0502,MIR,EQ-014,66393319,1.0,Outdoor,Esta condensators,75.0,80.0,110.0,0.66,360,420.0,Stackable 1 tier,85462000,EUR,7800.0,EY7107T,GERMANY,Frankfurt,Abu Dhabi Airport,2025-09-23,2025-09-23,,,,,,,,,,,2025-09-25,,,,"Case List, RIL",,1.0,site,MIR,2025-09-25,site,0,1,1,1,2,0.6,,,,UNKNOWN,,1,1,0,1,Port → Site,MIR
6848,PRL-MIR-055-A,HVDC-ADOPT-HE-0502,MIR,EQ-014,66393320,1.0,Outdoor,Esta condensators,75.0,80.0,110.0,0.66,360,420.0,Stackable 1 tier,85462000,EUR,7800.0,EY7107T,GERMANY,Frankfurt,Abu Dhabi Airport,2025-09-23,2025-09-23,,,,,,,,,,,2025-09-25,,,,"Case List, RIL",,1.0,site,MIR,2025-09-25,site,0,1,1,1,2,0.6,,,,UNKNOWN,,1,1,0,1,Port → Site,MIR
6849,PRL-MIR-055-A,HVDC-ADOPT-HE-0502,MIR,EQ-014,66393321,1.0,Outdoor,Esta condensators,75.0,80.0,110.0,0.66,360,420.0,Stackable 1 tier,85462000,EUR,7800.0,EY7107T,GERMANY,Frankfurt,Abu Dhabi Airport,2025-09-23,2025-09-23,,,,,,,,,,,2025-09-25,,,,"Case List, RIL",,1.0,site,MIR,2025-09-25,site,0,1,1,1,2,0.6,,,,UNKNOWN,,1,1,0,1,Port → Site,MIR
6850,PRL-MIR-055-A,HVDC-ADOPT-HE-0502,MIR,EQ-014,66393322,1.0,Outdoor,Esta condensators,75.0,80.0,110.0,0.66,360,420.0,Stackable 1 tier,85462000,EUR,7800.0,EY7107T,GERMANY,Frankfurt,Abu Dhabi Airport,2025-09-23,2025-09-23,,,,,,,,,,,2025-09-25,,,,"Case List, RIL",,1.0,site,MIR,2025-09-25,site,0,1,1,1,2,0.6,,,,UNKNOWN,,1,1,0,1,Port → Site,MIR
