no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
114,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190330,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
115,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190378,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
116,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190404,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
117,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190429,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
118,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190437,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
119,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190438,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
120,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190447,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
121,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190448,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
122,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190455,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
123,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190456,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
124,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190458,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
125,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190459,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
126,PRL-DAS-002-O1 Lot1,HVDC-ADOPT-HE-0008,DAS,EQ-001,190460,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-25,,2024-01-30,,,,,,,,,,,2025-06-10,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-10,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
