no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
1328,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3521,1.0,Outdoor,DIN 59753_SF-CuF22_16,538.0,38.0,51.0,1.042644,26,181.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,2.04,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1330,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3506,1.0,Outdoor,Connection Module Passive,542.2,137.2,159.5,11.86517948,930,1442.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,7.44,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1331,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3525,1.0,Outdoor,Connection Module Passive,362.2,132.2,147.8,7.077083752,670,997.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,4.79,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1332,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3526,1.0,Outdoor,Connection Module Passive,487.2,127.2,147.8,9.159437952,620,1031.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,6.2,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1333,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3527,1.0,Outdoor,Connection Module Passive,487.2,147.2,147.8,10.599601152,620,1064.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-18,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-18,warehouse,1,0,1,-1,0,7.17,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1334,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3528,1.0,Outdoor,Connection Module Passive,392.2,137.2,147.8,7.953094352,560,920.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,5.38,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1335,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3529,1.0,Outdoor,Connection Module Passive,517.2,127.2,147.8,9.723442752000002,650,1089.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,,,,,,,,2025-08-25,"Case List, RIL",,1.0,site,AGI,2025-08-25,site,0,1,1,1,2,6.58,,SIEMENS,,SIEMENS(SIM),,1,1,0,1,Port → Site,AGI
1336,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3531,1.0,Outdoor,Connection Module Passive,392.2,137.2,147.8,7.953094352,560,920.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,5.38,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1337,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3535,1.0,Outdoor,Connection Module Passive,587.2,147.2,157.5,13.6136448,840,1384.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,8.64,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1338,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3536,1.0,Outdoor,Connection Module Passive,467.2,142.2,152.5,10.1314656,750,1184.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,6.64,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1339,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3539,1.0,Outdoor,Connection Module Passive,582.2,137.2,152.5,12.1813706,830,1344.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-17,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-17,warehouse,1,0,1,-1,0,7.99,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
1340,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3540,1.0,Outdoor,Connection Module Passive,512.2,137.2,147.5,10.3653914,640,1093.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,,,,,,,,2025-08-25,"Case List, RIL",,1.0,site,AGI,2025-08-25,site,0,1,1,1,2,7.03,,SIEMENS,,SIEMENS(SIM),,1,1,0,1,Port → Site,AGI
