origin_norm,destination_norm,vehicle_norm,unit,median_rate_usd,median_distance_km,p25,p75,samples,key
M44 Warehouse,Al Masaood (MOSB),FB,per truck,200.0,5.35,200.0,200.0,16,M44 WAREHOUSE||AL MASAOOD (MOSB)||FB||per truck
M44 Warehouse,Al Masaood (MOSB),LOWBED,per truck,599.05,5.35,599.0469707283867,599.05,5,M44 WAREHOUSE||AL MASAOOD (MOSB)||LOWBED||per truck
M44 Warehouse,Bani Yas,3 TON PU,per truck,400.0,13.3,400.0,400.0,2,M44 WAREHOUSE||BANI YAS||3 TON PU||per truck
M44 Warehouse,DSV Mussafah Yard,FB,per truck,200.0,2.0,200.0,200.0,9,M44 WAREHOUSE||DSV MUSSAFAH YARD||FB||per truck
M44 Warehouse,MIRFA SITE,FB,per truck,420.0,100.2,420.0,420.0,3,M44 WAREHOUSE||MIRFA SITE||FB||per truck
M44 Warehouse,SHUWEIHAT Site,FB,per truck,600.0,109.8,600.0,600.0,9,M44 WAREHOUSE||SHUWEIHAT SITE||FB||per truck
M44 Warehouse,SHUWEIHAT Site,FLATBED,per truck,600.0,109.8,600.0,600.0,1,M44 WAREHOUSE||SHUWEIHAT SITE||FLATBED||per truck
MIRFA SITE,Al Masaood (MOSB),3 TON PU,per truck,150.0,99.4,150.0,150.0,1,MIRFA SITE||AL MASAOOD (MOSB)||3 TON PU||per truck
MIRFA SITE,Al Masaood (MOSB),FB,per truck,420.0,99.4,420.0,420.0,2,MIRFA SITE||AL MASAOOD (MOSB)||FB||per truck
MIRFA SITE,Mammoet Jebel Ali,FB,per truck,770.0,211.67,770.0,770.0,4,MIRFA SITE||MAMMOET JEBEL ALI||FB||per truck
MIRFA SITE,SHUWEIHAT Site,3 TON PU,per truck,187.5,60.45,156.25,218.75,2,MIRFA SITE||SHUWEIHAT SITE||3 TON PU||per truck
MIRFA SITE,SHUWEIHAT Site,FB,per truck,600.0,97.4,600.0,600.0,3,MIRFA SITE||SHUWEIHAT SITE||FB||per truck
Mina Zayed Port,Al Masaood (MOSB),FB,per truck,171.0,24.2,171.0,171.0,4,MINA ZAYED PORT||AL MASAOOD (MOSB)||FB||per truck
Mina Zayed Port,DSV Mussafah Yard,FB,per truck,171.0,24.2,171.0,171.0,1,MINA ZAYED PORT||DSV MUSSAFAH YARD||FB||per truck
Mina Zayed Port,Mina Zayed Port,,per truck,515.18,1.0,515.18,515.18,1,MINA ZAYED PORT||MINA ZAYED PORT||||per truck
Mina Zayed Port,Mina Zayed Port,FB,per truck,171.0,1.0,171.0,171.0,4,MINA ZAYED PORT||MINA ZAYED PORT||FB||per truck
Mina Zayed Port,Mina Zayed Port,LOWBED,per truck,980.26,1.0,980.26,980.26,3,MINA ZAYED PORT||MINA ZAYED PORT||LOWBED||per truck
Power Max Jebel Ali,Al Masaood (MOSB),3 TON PU,per truck,325.0,104.0,287.5,362.5,2,POWER MAX JEBEL ALI||AL MASAOOD (MOSB)||3 TON PU||per truck
Presige Mussafah,MIRFA SITE,FB,per truck,210.0,141.0,210.0,210.0,1,PRESIGE MUSSAFAH||MIRFA SITE||FB||per truck
Prestige Icad,Al Masaood (MOSB),3 TON PU,per truck,100.0,1.1,100.0,100.0,3,PRESTIGE ICAD||AL MASAOOD (MOSB)||3 TON PU||per truck
Prestige Icad,Al Masaood (MOSB),FB,per truck,200.0,2.14,200.0,200.0,1,PRESTIGE ICAD||AL MASAOOD (MOSB)||FB||per truck
